geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
tza,Tanzania,29.94521,28.08219,30.32877,30.21918,30.43836,30.73973,31.78082,32.0274,32.57534,31.58904,27.31507,30.21918,30.13699
uga,Uganda,40.16438,39.09589,34.9589,37.67123,40.73973,41.72603,43.86301,43.58904,41.45205,41.36986,38.08219,27.36986,38.08219
ukr,Ukraine,196.49315,199.0411,196.9863,185.9726,193.89041,184.43836,162.32877,168.73973,164.52055,176.0274,175.28767,173.94521,178.52055
ury,Uruguay,144.93151,145.39726,153.0137,154,146.30137,144.05479,156.46575,149.23288,152.13699,139.17808,135.83562,131.31507,137.12329
usa,USA,171.34247,176,180.35616,180.76712,179.86301,179.86301,179.61644,178.08219,174.27397,179.42466,176,181.23288,183.83562
uzb,Uzbekistan,55.06849,54.52055,54.21918,54.52055,55.15068,56.27397,59.53425,54.90411,64.87671,54.54795,56.60274,57.28767,70.49315
vct,St. Vincent and the Grenadines,130.21918,120.84932,120,115.17808,131.89041,131.64384,189.86301,202.57534,185.47945,183.83562,190.65753,188.43836,151.61644
ven,Venezuela,114.46575,115.36986,114.08219,113.06849,107.94521,103.0137,94.73973,91.42466,81.20548,80.32877,83.61644,76.76712,83.75342
vnm,Vietnam,56.60274,56.05479,57.75342,62.27397,54.68493,56.41096,55.0411,50.57534,58.63014,58.90411,77.15068,77.83562,89.64384
vut,Vanuatu,66.63014,65.94521,61.78082,65.0137,54.49315,51.39726,50.63014,46.30137,49.23288,40.13699,35.75342,42.82192,41.53425
wsm,Samoa,99.91781,100.08219,96.54795,102.71233,114.35616,123.42466,116.35616,107.31507,104.73973,115.94521,96.87671,128.30137,112.9863
yem,Yemen,70.54795,87.20548,84.19178,88.30137,95.61644,85.91781,77.39726,80.10959,82.13699,78.05479,83.53425,65.56164,69.61644
zaf,South Africa,122.46575,120.46575,121.0411,116.90411,117.06849,113.12329,115.78082,111.42466,110.21918,108.52055,109.83562,107.23288,101.20548
zmb,Zambia,28.90411,30.19178,33.78082,31.89041,36.41096,37.28767,33.58904,35.72603,35.42466,29.83562,41.0137,30.21918,33.86301
zwe,Zimbabwe,84.82192,99.64384,112.9589,122.24658,88.79452,91.26027,87.31507,80.54795,82.9589,66.68493,57.50685,71.12329,71.28767
