geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
tun,Tunisia,3260.75,3270.84,3292.42,3288.43,3324.51,3343.47,3335.25,3348.65,3397.01,3448.07,3472.88,3469.55,3471.78
tur,Turkey,3650.59,3652.97,3690.31,3700.15,3662.84,3715.89,3680.66,3743.94,3788.32,3802.04,3830.06,3830.13,3861.09
tuv,Tuvalu,,,,,,,,,,2902.77,2962.09,2983.34,2971.6
tza,Tanzania,2228.59,2276.25,2306,2343.49,2355.24,2355.17,2367.34,2353.66,2336.41,2359.32,2373.42,2388.75,2357.7
uga,Uganda,2347.47,2302.63,2312.93,2294.86,2238.49,2157.98,2028.97,2054.22,2139.86,2127.97,2161.71,2174.94,2166.36
ukr,Ukraine,3149.45,3194.54,3177.18,3167.49,3141.72,3077.12,3064.94,3034.76,2989.38,2943.32,2925.31,2936.51,2851.49
ury,Uruguay,3106.67,3118.66,3150.43,3156.4,3177.71,3144.52,3166.82,3190.82,3241.31,3277.75,3257.39,3289.19,3306.88
usa,USA,3729.24,3726.95,3764.55,3753.96,3741.51,3754.23,3776.88,3790.85,3823.58,3876.34,3891.56,3892.87,3912.14
uzb,Uzbekistan,2915,2993.21,3075.34,3131.86,3203.82,3226.21,3245.59,3184.46,3210.89,3235.14,3246.65,3254.08,3271.8
vct,St. Vincent and the Grenadines,2926.26,2945.69,2966.91,2994.74,2993.68,3029.54,2989.34,2994.31,2989.28,2961.37,2929.2,2946.05,2963.28
ven,Venezuela,2925.83,2923.2,2874.03,2838.4,2882.09,2619.82,2233.47,2292.07,2193.98,2237.91,2299.78,2302.33,2318.07
vnm,Vietnam,2730.88,2761.41,2822.45,2809.89,2847.33,2842.19,2873.99,2897.19,2926.09,2964.73,3010.13,3049.32,3072.19
vut,Vanuatu,2849.77,2814.02,2771.63,2782.32,2826.68,2807.51,2807.41,2843.73,2833.35,2798.52,2801.74,2795.89,2785.79
wsm,Samoa,2874.78,2844.29,2883.18,2922.1,2979.35,2963.91,3005.66,2984.77,3036.96,3053.23,3049.01,3075.07,3063.19
yem,Yemen,2246.42,2192.19,2269.63,2264.56,2184.48,2034.07,1929.92,1995.51,1993.79,2029.8,2131.09,2160.07,2083.24
zaf,South Africa,2865.19,2869.36,2894.01,2878.5,2845.35,2807.56,2819.54,2846.73,2846.17,2827.48,2816.75,2772.39,2761.01
zmb,Zambia,1949.82,1985.33,2014.15,2048.4,2099.95,2125.18,2186.13,2233.39,2261.62,2243.08,2222.49,2198.64,2158.13
zwe,Zimbabwe,2243.53,2248.64,2281.01,2250.05,2152.39,2114.05,2120.74,2047.75,2068.21,2027.28,2016.94,2058.41,2040.51
